Subject,"Max (0,1,2,3) %","Max (1,2,3) %",Lag 0 (%),Lag 1 (%),Lag 2 (%),Lag 3 (%)
S1,20.5,23.5,25.5,30.0,21.5,23.5
S2,27.5,25.42,24.17,25.42,24.17,28.75
S3,21.67,16.11,22.78,13.33,20.0,22.22
S4,21.67,18.75,21.67,21.67,17.92,21.25
S5,19.17,19.58,22.08,23.33,15.83,22.5
S6,17.14,21.75,23.13,23.59,20.37,17.11
S7,21.25,20.83,17.5,20.83,20.42,22.92
S8,21.5,29.5,22.5,27.5,25.5,23.0
S9,26.25,28.75,25.0,27.92,29.58,25.42
S10,22.08,21.67,23.75,20.42,21.25,20.0
Mean,21.87,22.59,22.81,23.4,21.65,22.67
Std,3.04,4.28,2.24,4.77,3.91,3.08
