,"[12, 15]","[15, 18]","[18, 21]","[21, 24]","[24, 27]","[27, 30]","[30, 33]","[33, 36]","[36, 39]","[39, 42]","[42, 45]"
sub 1,0.0015282035,0.003589511,0.0066984296,0.011793971,0.019325346,0.028842151,0.03960088,0.052232802,0.06866893,0.08782908,0.10640669
sub 2,0.00036603212,0.0018569827,0.005250275,0.010081291,0.017916799,0.027803034,0.03768891,0.04778862,0.059990168,0.074965686,0.091204196
sub 3,0.004761696,0.009320319,0.019612968,0.025729358,0.029259324,0.03483951,0.04649195,0.058535427,0.074166596,0.09331924,0.11266735
sub 4,0.0009083748,0.003455162,0.007543385,0.013198674,0.02146691,0.03153932,0.04477465,0.061116964,0.07971546,0.09785858,0.115118474
sub 5,0.0011453629,0.0042957067,0.0077382326,0.01266402,0.021592617,0.033520967,0.046965003,0.06336528,0.08316827,0.103167385,0.12124169
sub 6,0.0016286373,0.0049242973,0.011180222,0.015793324,0.022604704,0.03309229,0.046678722,0.061362386,0.07793105,0.09640437,0.11428395
sub 7,0.0009121895,0.007197261,0.018661141,0.021579564,0.02327013,0.030113697,0.03943923,0.049953073,0.061594635,0.069710344,0.076299846
sub 8,0.00039076805,0.0022856593,0.006309688,0.013291299,0.023504674,0.036643922,0.05244583,0.0716303,0.09227899,0.115602195,0.13916025
sub 9,0.00045645237,0.0026626587,0.005479574,0.009373248,0.016508877,0.026373088,0.039294332,0.054705143,0.073729336,0.09275967,0.11048716
sub 10,0.0015494823,0.008455992,0.01748985,0.0303787,0.03869438,0.04783824,0.0657683,0.0886502,0.11493033,0.14177594,0.16680628
